PSO VS GA MarinesMostlyBalanced

PSO
-------------------------------------------
 gen    evals   avg     std     min     max
0       50      329     127.315 50      650
1       50      359     102.806 50      550
2       50      399     101.237 150     650
3       50      435     99.6243 250     650
4       50      475     95.5249 250     700
5       50      517     112.076 300     900
6       50      535     107.819 350     850
7       50      529     136.048 250     1000
8       50      489     115.884 300     750
9       50      501     116.4   300     850
10      50      517     105.171 300     800
11      50      564     127.295 300     900
12      50      512     109.343 300     750
13      50      553     110.639 350     850
14      50      543     129.232 150     850
15      50      543     122.886 300     900
16      50      543     121.659 300     1000
17      50      547     124.664 350     950
18      50      537     101.887 250     750
19      50      508     102.645 350     750
20      50      522     103.034 350     800
21      50      526     104.038 350     750
22      50      523     113.23  250     750
23      50      544     142.702 350     950
24      50      543     103.928 350     800
25      50      548     95.8958 400     800
26      50      515     109.202 350     900
27      50      519     104.828 250     900
28      50      516     106.508 300     750
29      50      497     117.648 150     750
30      50      546     119.933 350     850
31      50      551     107     350     800
32      50      515     102.591 350     800
33      50      522     113.208 300     900
34      50      521     109.586 250     750
35      50      549     107.931 300     800
36      50      532     110.797 300     850
37      50      542     106     350     800
38      50      508     97.1391 300     750
39      50      534     111.553 350     850
 [-3.5763463919041683, 0.19782087087070188, -1.0181574309351902, 6.220774867772018, 4.214178527022515, 99.28899948508246, 4.335644241113526, 1.7635462794457968]
-------------------------------------------
GA
 gen    evals   avg     std     min     max
0       50      320     141.067 0       600
1       50      420     114.455 150     700
2       50      489     130.111 0       800
3       50      497     109.275 250     750
4       50      558     110.164 350     800
5       50      628     151.71  250     1100
6       50      653     131.685 400     1100
7       50      716     168.95  300     1100
8       50      722     214.746 300     1100
9       50      725     195     300     1100
10      50      773     241.911 350     1100
11      50      798     236.423 400     1100
12      50      766     205.533 400     1100
13      50      790     229.565 350     1100
14      50      768     242.025 250     1100
15      50      715     255.979 350     1100
16      50      744     258.967 350     1100
17      50      849     217.368 350     1100
18      50      746     227.561 350     1100
19      50      800     253.969 300     1100
20      50      806     210.39  450     1100
21      50      773     222.758 400     1100
22      50      790     249.6   350     1100
23      50      787     228.65  350     1100
24      50      813     201.943 350     1100
25      50      856     220.145 400     1100
26      50      782     239.324 350     1100
27      50      781     228.668 400     1100
28      50      826     189.8   450     1100
29      50      778     186.322 400     1100
30      50      761     232.011 300     1100
31      50      775     220.284 350     1100
32      50      807     170.59  450     1100
33      50      775     212.191 350     1100
34      50      767     198.648 350     1100
35      50      798     197.221 350     1100
36      50      742     242.973 300     1100
37      50      782     209.227 400     1100
38      50      767     184.827 450     1100
39      50      814     199.259 450     1100
